title,original_language,release_year,release_month,runtime,genre,averageRating,budget,revenue,agg_profit,norm_revenue
Last Night in Soho,en,2021,10,116,"Drama,Horror,Mystery",7.0,43000000.0,22567607.0,-20432393.0,11283803.5
Dark Water,en,2021,10,92,"Crime,Drama,Mystery",5.1,60000000.0,49473093.0,-10526907.0,24736546.5
Changeling,en,2021,10,141,"Biography,Crime,Drama",7.7,55000000.0,113805580.0,58805580.0,56902790.0
Halloween Kills,en,2021,10,105,"Action,Drama,Horror",5.5,20000000.0,130851162.0,110851162.0,65425581.0
The Family,en,2021,10,103,Drama,6.1,30000000.0,80588942.0,50588942.0,40294471.0
Cinderella,ta,2021,9,52,"Drama,Fantasy",6.1,95000000.0,542351353.0,447351353.0,271175676.5
Jack and Jill,en,2021,9,100,Comedy,7.8,79000000.0,150519217.0,71519217.0,75259608.5
Malignant,en,2021,9,85,"Horror,Sci-Fi,Thriller",4.4,40000000.0,33974421.0,-6025579.0,16987210.5
Pan,en,2021,8,96,Drama,6.6,150000000.0,151525973.0,1525973.0,75762986.5
Sisters,fr,2021,8,93,"Horror,Mystery,Thriller",6.9,30000000.0,106030660.0,76030660.0,53015330.0
Creature,es,2021,8,95,"Horror,Sci-Fi",4.4,3000000.0,533235.0,-2466765.0,266617.5
Demonic,en,2021,7,104,"Drama,Horror,Sci-Fi",4.3,3000000.0,4668109.0,1668109.0,2334054.5
Old,en,2021,7,108,"Drama,Horror,Mystery",5.8,18000000.0,89836797.0,71836797.0,44918398.5
The Big Parade,en,2021,7,151,"Drama,Romance,War",7.9,245000.0,22000000.0,21755000.0,11000000.0
Escape Room: Tournament of Champions,en,2021,7,88,"Action,Adventure,Horror",5.7,15000000.0,53493064.0,38493064.0,26746532.0
The Forever Purge,en,2021,6,103,"Action,Crime,Horror",5.4,18000000.0,76950525.0,58950525.0,38475262.5
The Apparition,en,2021,6,82,"Horror,Thriller",4.1,17000000.0,10637281.0,-6362719.0,5318640.5
Hereafter,en,2021,6,129,"Drama,Fantasy,Romance",6.5,50000000.0,108660270.0,58660270.0,54330135.0
The House Next Door: Meet the Blacks 2,en,2021,6,97,"Action,Comedy,Horror",4.1,3500000.0,2893660.0,-606340.0,1446830.0
The Lovers,en,2021,6,87,Comedy,7.5,35000000.0,53899.0,-34946101.0,26949.5
Click,en,2021,6,105,\N,6.0,82500000.0,237685089.0,155185089.0,118842544.5
The Conjuring: The Devil Made Me Do It,en,2021,5,112,"Horror,Mystery,Thriller",6.3,40000000.0,200266441.0,160266441.0,100133220.5
Orphan,en,2021,5,99,Drama,7.1,20000000.0,78769428.0,58769428.0,39384714.0
The Invisible Man,en,2021,5,71,"Horror,Sci-Fi",7.6,7000000.0,139011965.0,132011965.0,69505982.5
Game Night,en,2021,5,100,"Action,Adventure,Comedy",6.9,37000000.0,117378084.0,80378084.0,58689042.0
The Darkness,en,2021,5,92,"Horror,Thriller",4.5,4000000.0,10904495.0,6904495.0,5452247.5
Spellbound,en,2021,5,111,"Film-Noir,Mystery,Romance",7.5,1500000.0,7000000.0,5500000.0,3500000.0
The Guardian,vi,2021,4,92,"Drama,Fantasy,Horror",5.4,70000000.0,94973540.0,24973540.0,47486770.0
Cursed,en,2021,4,85,Horror,3.6,35000000.0,25114901.0,-9885099.0,12557450.5
Home,en,2021,4,91,"Comedy,Drama",4.8,130000000.0,385997896.0,255997896.0,192998948.0
Inferno,en,2021,4,83,"Crime,Drama,Romance",7.0,75000000.0,219519367.0,144519367.0,109759683.5
The Believer,en,2021,4,98,Drama,7.1,1500000.0,1840248.0,340248.0,920124.0
The Unholy,en,2021,3,102,Horror,5.0,10000000.0,30792024.0,20792024.0,15396012.0
Bats,en,2021,3,91,"Horror,Sci-Fi,Thriller",4.1,6500000.0,10155691.0,3655691.0,5077845.5
