,id,title,original_language,overview,release_date,popularity,vote_count,vote_average,budget,revenue,runtime,status,genre_names,release_month,release_year,profit
43,628637,The Dark Days of Demetrius,en,"The Dark Days of Demetrius is the sixth full length feature from Denver auteur filmmaker Dakota Ray. The film is a disturbing, lo-fi horror film revolving around the exploits of Demetrius (Dakota Ray), an elusive, narcissistic, serial killer who has gained stardom from live streaming the murders of his victims online, with the press dubbing him as ""The Live Stream Killer"". Conflict arises when Demetrius conducts an anonymous interview with corrupt news reporter Clive. To the dismay of Demetrius, Clive fabricates the interview and begins framing Demetrius for murders that he did not commit. As the body count rises, the viewer is taken on a cinematic decent into evil, violence, death. narcissism, and corruption.",2019-09-23,1.136,1,8.0,10000,100000,60,Released,Horror,9,2019,90000
44,474350,It Chapter Two,en,"27 years after overcoming the malevolent supernatural entity Pennywise, the former members of the Losers' Club, who have grown up and moved away from Derry, are brought back together by a devastating phone call.",2019-09-04,230.451,7221,6.9,79000000,473122525,170,Released,"Fantasy, Horror",9,2019,394122525
45,654954,Follow the Crows,en,"Long after the end of the world survivors wander the fields and wastelands that once housed the cities of Britain. One such survivor, the Man, isolates himself from human contact, until he meets a young woman and the pair begin an adventure that will teach them both what it is to be human.",2019-09-03,1.203,0,0.0,3000,4000,94,Released,"Drama, Horror, Mystery, Thriller",9,2019,1000
46,567609,Ready or Not,en,A bride's wedding night takes a sinister turn when her eccentric new in-laws force her to take part in a terrifying game.,2019-08-21,38.925,3383,7.1,6000000,57615777,95,Released,"Comedy, Horror, Thriller",8,2019,51615777
47,417384,Scary Stories to Tell in the Dark,en,"Mill Valley, Pennsylvania, Halloween night, 1968. After playing a joke on a school bully, Stella and her friends decide to sneak into a supposedly haunted house that once belonged to the powerful Bellows family, unleashing dark forces that they will be unable to control.",2019-08-08,43.866,2208,6.5,25000000,95438172,108,Released,"Horror, Thriller",8,2019,70438172
48,618869,Afflatus,en,"After losing everything beyond time, mankind seek to find inspiration in nature, in the void and in life itself, while struggling with dreams of future existence.",2019-07-27,0.6,2,10.0,748,850,59,Released,"Horror, Mystery",7,2019,102
49,511987,Crawl,en,"When a huge hurricane hits her hometown in Florida, Haley ignores evacuation orders to look for her father. After finding him badly wounded, both are trapped by the flood. With virtually no time to escape the storm, they discover that rising water levels are the least of their problems.",2019-07-11,49.607,2608,6.3,13500000,89203432,88,Released,"Action, Horror, Thriller",7,2019,75703432
50,530385,Midsommar,en,"Several friends travel to Sweden to study as anthropologists a summer festival that is held every ninety years in the remote hometown of one of them. What begins as a dream vacation in a place where the sun never sets, gradually turns into a dark nightmare as the mysterious inhabitants invite them to participate in their disturbing festive activities.",2019-07-03,58.67,5237,7.1,9000000,47980982,147,Released,"Drama, Horror, Mystery",7,2019,38980982
51,521029,Annabelle Comes Home,en,"Determined to keep Annabelle from wreaking more havoc, demonologists Ed and Lorraine Warren bring the possessed doll to the locked artifacts room in their home, placing her “safely” behind sacred glass and enlisting a priest’s holy blessing. But an unholy night of horror awaits as Annabelle awakens the evil spirits in the room, who all set their sights on a new target—the Warrens' ten-year-old daughter, Judy, and her friends.",2019-06-26,88.826,2870,6.4,30000000,231252591,106,Released,"Horror, Mystery, Thriller",6,2019,201252591
52,533642,Child's Play,en,"Karen, a single mother, gifts her son Andy a Buddi doll for his birthday, unaware of its more sinister nature. A contemporary re-imagining of the 1988 horror classic.",2019-06-19,82.168,1608,6.0,10000000,44902237,90,Released,Horror,6,2019,34902237
